No. of Iterations,MFO,FFA,GWO,DE,MVO,HHO,MFOS,
488,-3.375,-3.482,-3.56,-3.672,-3.687,-3.8,-3.86,
489,-3.375,-3.482,-3.56,-3.672,-3.687,-3.8,-3.86,
490,-3.375,-3.482,-3.56,-3.672,-3.687,-3.8,-3.86,
491,-3.375,-3.482,-3.56,-3.672,-3.687,-3.8,-3.86,
492,-3.375,-3.482,-3.56,-3.672,-3.687,-3.8,-3.86,
493,-3.375,-3.482,-3.56,-3.672,-3.687,-3.8,-3.86,
494,-3.375,-3.482,-3.56,-3.672,-3.687,-3.8,-3.86,
495,-3.375,-3.482,-3.56,-3.672,-3.687,-3.8,-3.86,
496,-3.375,-3.482,-3.56,-3.672,-3.687,-3.8,-3.86,
497,-3.375,-3.482,-3.56,-3.672,-3.687,-3.8,-3.86,
498,-3.375,-3.482,-3.56,-3.672,-3.687,-3.8,-3.86,
499,-3.375,-3.482,-3.56,-3.672,-3.687,-3.8,-3.86,
500,-3.375,-3.482,-3.56,-3.672,-3.687,-3.8,-3.86,
