No. of Iterations,MFO,FFA,GWO,DE,MVO,HHO,MFOS
1,-2456.59,-1983.24,-2223.8,-2332.54,-2114.11,-2110.55,-2126.99
2,-2457.59,-2247.49,-2350.84,-2501.17,-2334.19,-2773.66,-2585.3
3,-2611.79,-2398.64,-2472.88,-2577.59,-2509.48,-3840.13,-2954.63
4,-2720.3,-2572.58,-2559.45,-2743.06,-2594.92,-4594.02,-3115.69
5,-2818.92,-2613.67,-2594.09,-2875.6,-2670.12,-5593.5,-3573.99
6,-2868.97,-2677.05,-2608.33,-3005.86,-2804.1,-6965.97,-3914.84
7,-2954.02,-2707.25,-2624.57,-3072.19,-2840.3,-8096.26,-4210.58
8,-3093.72,-2755.52,-2670.14,-3103.37,-2941.79,-8761.63,-4516.06
9,-3179.23,-2810.55,-2684.2,-3135.43,-3041.99,-9167.15,-4843.24
10,-3251.69,-2831.06,-2704.47,-3168.51,-3143.49,-9449.54,-5072.29
11,-3309.39,-2862.93,-2704.47,-3247.73,-3248.57,-9548.72,-5243.99
12,-3391.69,-2906.24,-2733.12,-3267.79,-3272,-9952.2,-5351.15
13,-3443.09,-2925.92,-2733.12,-3289.79,-3302.59,-10294.63,-5484.99
14,-3523.27,-3011.91,-2763.77,-3323.46,-3373.18,-10376.46,-5619.83
15,-3561.68,-3022.04,-2779.14,-3405.81,-3387.1,-10429.21,-5715.14
16,-3631.34,-3040.84,-2800.71,-3479.43,-3395.73,-10668.04,-5847.11
17,-3713.37,-3062.56,-2839.11,-3489.97,-3420.77,-10839.63,-6036.21
18,-3782.12,-3090.02,-2891.64,-3519.55,-3461.24,-10917.28,-6296.65
19,-3840.35,-3097.36,-2921.15,-3522.01,-3499.08,-11049.2,-6433.13
20,-3894.75,-3097.36,-2924.33,-3563.01,-3520.59,-11080.83,-6690.51
21,-3944.35,-3098.05,-2940.42,-3588.58,-3525.6,-11104.9,-6799.44
22,-4024.99,-3098.05,-2940.42,-3605.26,-3541.53,-11133.84,-6873.21
23,-4070.32,-3103.4,-2940.42,-3623.91,-3604.58,-11179.43,-6959.85
24,-4172.48,-3117.51,-2958.38,-3684.21,-3611.49,-11208.46,-7050.38
25,-4210.47,-3119.68,-2967.98,-3690.09,-3612.05,-11284.36,-7117.92
26,-4275.49,-3134.78,-2967.98,-3702.91,-3633.55,-11289.79,-7347.98
27,-4377.36,-3160.91,-2982.56,-3757.75,-3633.55,-11291.41,-7359.47
28,-4435.22,-3160.91,-2998.24,-3774.82,-3649.3,-11296.97,-7420.24
29,-4529.67,-3160.91,-3010.35,-3779.33,-3670.76,-11299.76,-7553.92
30,-4600.28,-3172.94,-3010.35,-3816.62,-3697.17,-11302.25,-7631.59
31,-4637.2,-3172.94,-3046.86,-3861.63,-3704.92,-11306.12,-7687.94
32,-4740.86,-3172.94,-3068.33,-3891.95,-3706.4,-11313.15,-7771.42
33,-4782.99,-3175.08,-3068.33,-3897.63,-3734.55,-11550.42,-7801.06
34,-4859.27,-3190.91,-3072.1,-3919.68,-3741.91,-11553.5,-7869.42
35,-4907.41,-3203.23,-3072.1,-3947.37,-3788.41,-11556.09,-7970.78
36,-4965.46,-3213.19,-3072.1,-3947.37,-3791.84,-11557.79,-7993.61
37,-5016.4,-3243.22,-3072.1,-3960.69,-3791.84,-11558.76,-7994.72
38,-5092.01,-3243.22,-3072.1,-3992.78,-3799.4,-11676.43,-8066.04
39,-5179.12,-3243.83,-3072.1,-3992.78,-3799.4,-11679.56,-8139.36
40,-5214.85,-3243.83,-3072.1,-4016.08,-3799.4,-11680.53,-8149.23
41,-5253.86,-3243.83,-3080.65,-4016.08,-3799.4,-11681.25,-8167.88
42,-5307.56,-3243.83,-3080.65,-4019.22,-3799.4,-11681.37,-8191.5
43,-5363.39,-3261.66,-3084.81,-4019.22,-3799.4,-11682.07,-8328.56
44,-5427.4,-3264.62,-3084.81,-4053.82,-3799.4,-11684.64,-8440.52
45,-5476.08,-3264.62,-3090.5,-4087.13,-3801.05,-11725.18,-8553.1
46,-5506.22,-3273.43,-3090.5,-4092.64,-3813.71,-11725.78,-8619.71
47,-5551.09,-3273.43,-3103.16,-4092.68,-3822.55,-11801.51,-8685.5
48,-5619.07,-3273.43,-3103.16,-4111.28,-3822.55,-11801.6,-8782.04
49,-5704.3,-3273.43,-3103.16,-4115.83,-3825.04,-11803.56,-8799.08
50,-5754.38,-3273.43,-3107.25,-4117.19,-3827.99,-11803.82,-8896.28
51,-5819.78,-3276.91,-3107.25,-4170.6,-3836.22,-11806.36,-8896.28
52,-5847.73,-3281.83,-3107.25,-4217.1,-3836.22,-11806.4,-8993.3
53,-5876.1,-3299.13,-3124.52,-4230.51,-3838.16,-11849.65,-8993.3
54,-5908.18,-3299.13,-3144.67,-4231.31,-3838.16,-11851.2,-9074.9
55,-5926.47,-3309.31,-3144.67,-4232.38,-3848.58,-11927.05,-9102.24
56,-6011.23,-3309.31,-3144.67,-4240.85,-3862.71,-11929.57,-9237.01
57,-6039.32,-3314.22,-3144.67,-4240.85,-3862.71,-11974.33,-9246.09
58,-6068.1,-3318.94,-3149.31,-4268.87,-3862.71,-12027.55,-9248.73
59,-6106.68,-3323.36,-3149.31,-4280.39,-3875.98,-12083.75,-9269.2
60,-6181.51,-3357.67,-3149.31,-4302.91,-3887.71,-12104.28,-9431.32
61,-6215.64,-3362.29,-3149.31,-4308.96,-3892.57,-12112.59,-9569.38
62,-6323.12,-3362.29,-3149.31,-4308.96,-3900.07,-12225.66,-9647.69
63,-6341.73,-3362.29,-3155.61,-4327.72,-3909,-12227.12,-9752.88
64,-6368.17,-3371.32,-3155.61,-4336.49,-3909,-12227.24,-9803.18
65,-6426.55,-3384.94,-3155.61,-4351.34,-3909,-12227.8,-9829.63
66,-6469.4,-3386.11,-3155.61,-4354.8,-3909,-12227.82,-9894.46
67,-6496.23,-3386.53,-3155.61,-4354.8,-3923.13,-12227.84,-9975.67
68,-6511.71,-3393.11,-3168.02,-4354.8,-3941.01,-12227.99,-10022.74
69,-6561.45,-3393.11,-3168.02,-4354.8,-3961,-12230.63,-10133.49
70,-6597.79,-3393.11,-3174.71,-4373.63,-3961,-12230.64,-10214.42
71,-6640.11,-3393.11,-3174.71,-4384.9,-3968.25,-12230.66,-10343.02
72,-6669.47,-3393.11,-3202.16,-4400.56,-3998.53,-12230.68,-10457.62
73,-6711.35,-3393.11,-3211.54,-4402.86,-3998.54,-12230.9,-10670.25
74,-6745.08,-3417.07,-3211.54,-4404.64,-3999.39,-12231.87,-10839.79
75,-6753.03,-3417.07,-3211.54,-4416.96,-4022.68,-12232.03,-10974.67
76,-6777.24,-3417.07,-3211.54,-4431.66,-4022.68,-12232.19,-11122.38
77,-6808.3,-3417.07,-3211.54,-4480.06,-4034.81,-12232.19,-11172.48
78,-6815.03,-3417.93,-3211.54,-4480.06,-4054.9,-12232.19,-11271.23
79,-6852.43,-3417.93,-3214.43,-4480.5,-4054.9,-12232.22,-11364.86
80,-6878.81,-3417.93,-3220.22,-4485.67,-4054.9,-12232.24,-11476.71
81,-6921.61,-3417.93,-3229.23,-4497.78,-4054.9,-12232.26,-11545.75
82,-6936.74,-3417.93,-3264.19,-4497.78,-4061.88,-12232.46,-11658.92
83,-6955.61,-3426.46,-3264.19,-4501.54,-4061.88,-12232.46,-11730.15
84,-6978.38,-3434.2,-3264.19,-4501.54,-4061.88,-12232.47,-11869.77
85,-7026.81,-3434.2,-3264.19,-4505.06,-4061.88,-12233.69,-11929.7
86,-7036.34,-3437.83,-3271.01,-4523.61,-4061.88,-12235.15,-12006.94
87,-7063.43,-3437.83,-3271.01,-4530.46,-4061.88,-12235.15,-12062.48
88,-7092.27,-3437.83,-3271.01,-4532.49,-4061.88,-12235.17,-12180.44
89,-7129.49,-3437.83,-3271.01,-4533.36,-4061.88,-12235.19,-12249.32
90,-7163.73,-3441.65,-3275.84,-4559.57,-4061.88,-12235.19,-12345.59
91,-7187.4,-3441.65,-3288.3,-4575.32,-4061.88,-12235.54,-12423.53
92,-7200.77,-3441.65,-3288.3,-4576.69,-4061.88,-12235.62,-12482.16
93,-7207.19,-3441.65,-3288.3,-4600.49,-4061.88,-12235.91,-12597.52
94,-7248.76,-3441.65,-3292.97,-4600.49,-4061.88,-12235.94,-12634.48
95,-7272.57,-3466.59,-3292.97,-4600.49,-4061.88,-12235.94,-12770.75
96,-7292.3,-3466.59,-3292.97,-4600.49,-4061.88,-12305.57,-12850.51
97,-7304.89,-3466.59,-3292.97,-4600.49,-4061.88,-12305.58,-12914.18
98,-7325.98,-3478.49,-3292.97,-4600.49,-4061.88,-12325.47,-12981.49
99,-7338.03,-3478.49,-3292.97,-4600.49,-4070.67,-12352.05,-13112.86
100,-7358.35,-3478.49,-3292.97,-4600.49,-4070.67,-12354.57,-13217.39
101,-7381.57,-3480.21,-3292.97,-4622.69,-4083.62,-12354.57,-13353.37
102,-7395.69,-3480.21,-3292.97,-4649.49,-4083.62,-12354.64,-13467.99
103,-7405.29,-3480.21,-3292.97,-4666.44,-4083.62,-12354.68,-13539.04
104,-7432.08,-3480.21,-3299.88,-4667.8,-4083.62,-12354.72,-13602.95
105,-7469.13,-3480.21,-3299.88,-4678.15,-4087.66,-12354.73,-13710.96
106,-7482.51,-3480.21,-3299.88,-4678.15,-4098,-12354.73,-13777.14
107,-7489.8,-3480.21,-3299.88,-4695.31,-4098,-12354.92,-13867.23
108,-7525.89,-3480.21,-3299.88,-4707.53,-4118.48,-12355,-13968.68
109,-7529.72,-3480.21,-3299.88,-4707.53,-4119.94,-12355.01,-13997.36
110,-7542.42,-3480.21,-3299.88,-4713.42,-4149.18,-12355.03,-14027.84
111,-7552.01,-3480.21,-3299.88,-4713.42,-4149.18,-12355.03,-14081.41
112,-7589.07,-3480.21,-3299.88,-4744.18,-4149.18,-12355.14,-14188.3
113,-7594.69,-3480.21,-3299.88,-4744.18,-4153.66,-12355.31,-14338.03
114,-7610.77,-3480.21,-3299.88,-4766.05,-4153.71,-12355.32,-14467.66
115,-7623.19,-3480.21,-3299.88,-4782.13,-4153.71,-12355.35,-14603.22
116,-7628.21,-3480.21,-3299.88,-4793.58,-4153.71,-12355.35,-14660.5
117,-7638.35,-3480.21,-3299.88,-4793.58,-4153.71,-12355.43,-14737.58
118,-7648.49,-3480.21,-3299.88,-4796.48,-4153.71,-12355.45,-14821.16
119,-7664.28,-3480.21,-3299.88,-4796.48,-4171.05,-12355.45,-14894.07
120,-7690.3,-3480.21,-3312.32,-4804.47,-4171.05,-12355.71,-14923.3
121,-7707.24,-3480.21,-3342.94,-4807.39,-4171.05,-12356.28,-14966.6
122,-7713.02,-3480.21,-3342.94,-4807.39,-4177.26,-12356.32,-14997.6
123,-7732.88,-3480.21,-3342.94,-4807.39,-4177.26,-12356.32,-15101.35
124,-7739.52,-3480.21,-3353.07,-4816.99,-4177.26,-12356.4,-15150.24
125,-7749.94,-3480.21,-3353.07,-4816.99,-4177.26,-12356.44,-15219.87
126,-7759.51,-3480.21,-3353.07,-4816.99,-4177.26,-12356.44,-15331.52
127,-7771.38,-3488.48,-3353.07,-4834.65,-4177.26,-12356.91,-15416.46
128,-7780.56,-3488.48,-3361.57,-4838.99,-4177.26,-12357.09,-15497.2
