No. of Iterations,MFO,FFA,GWO,DE,MVO,HHO,MFOS
1,64738.61,67994.29,68481.07,65855.51,67551.35,67399.21,68975.78
2,64734.61,67793.95,68043.98,65755.11,67529.98,65855.35,66842.98
3,64335.63,67593.61,67654.52,65654.71,67508.61,64311.49,64503.82
4,64142,67393.27,67332.65,65554.31,67487.24,62767.63,63570.35
5,64000,67192.93,67010.78,65453.91,67465.87,61223.77,61870.35
6,63858,66992.59,66688.91,65353.51,67444.5,59679.91,60170.35
7,63716,66792.25,66367.04,65263.14,67423.13,58136.05,58470.35
8,63574,66591.91,66045.17,65172.77,67401.76,56592.19,56770.35
9,63432,66391.57,65723.3,65082.4,67380.39,55048.33,55070.35
10,63290,66191.23,65401.43,64992.03,67359.02,53504.47,53370.35
11,63148,65990.89,65185.24,64901.66,67337.65,51960.61,51670.35
12,63006,65790.55,64969.05,64811.29,67316.28,50416.75,49970.35
13,62864,65590.21,64752.86,64720.92,67294.91,49314.38,48270.35
14,62722,65389.87,64536.67,64630.55,67279.67,48212.01,46570.35
15,62580,65189.53,64320.48,64540.18,67264.43,47109.64,44870.35
16,62438,64989.19,64104.29,64453.99,67249.19,46007.27,43220.35
17,62296,64788.85,63888.1,64367.8,67233.95,44904.9,41570.35
18,62154,64588.51,63671.91,64281.61,67218.71,43802.53,39920.35
19,62012,64388.17,63455.72,64195.42,67203.47,42700.16,38270.35
20,61903,64187.83,63239.35,64109.23,67188.23,41597.79,36620.35
21,61794,63987.49,63022.98,64023.04,67172.99,40495.42,35120.35
22,61685,63787.15,62806.61,63936.85,67157.75,39393.05,33620.35
23,61576,63586.81,62590.24,63850.66,67142.51,38290.68,32120.35
24,61467,63386.47,62373.87,63764.47,67127.27,37188.31,30620.35
25,61358,63225.1,62157.5,63678.28,67112.03,36380.49,29120.35
26,61249,63063.73,61941.13,63592.09,67096.79,35572.67,27620.35
27,61140,62902.36,61724.76,63517.7,67081.55,34764.85,26170.35
28,61031,62740.99,61615.42,63443.31,67069.48,33957.03,24720.35
29,60922,62579.62,61506.08,63368.92,67057.41,33149.21,23270.35
30,60813,62418.25,61396.74,63294.53,67045.34,32341.39,21820.35
31,60704,62256.88,61287.4,63220.14,67033.27,31533.57,20370.35
32,60595,62095.51,61178.06,63145.75,67021.2,30725.75,18940.35
33,60486,61934.14,61068.72,63071.36,67009.13,29917.93,18040.35
34,60377,61772.77,60959.38,62996.97,66997.06,29110.11,17140.35
35,60268,61611.4,60850.04,62922.58,66984.99,28690.84,16740.35
36,60159,61450.03,60753.32,62848.19,66972.92,28271.57,16340.35
37,60050,61288.66,60656.6,62773.8,66960.85,27852.3,15940.35
38,59941,61127.29,60559.88,62723.04,66948.78,27433.03,15540.35
39,59832,60965.92,60463.16,62672.28,66936.71,27013.76,15140.35
40,59723,60804.55,60366.44,62621.52,66924.64,26594.49,14840.35
41,59614,60661.94,60269.72,62570.76,66912.57,26175.22,14540.35
42,59505,60519.33,60173,62520,66900.5,25755.95,14240.35
43,59396,60376.72,60076.28,62469.24,66888.43,25336.68,13940.35
44,59287,60234.11,59979.56,62418.48,66879.09,25212.3,13640.35
45,59178,60091.5,59882.84,62367.72,66869.75,25087.92,13340.35
46,59069,59948.89,59786.12,62316.96,66860.41,24963.54,13040.35
47,58960,59806.28,59689.4,62266.2,66851.07,24839.16,12740.35
48,58851,59663.67,59612.49,62215.44,66841.73,24714.78,12580.35
49,58742,59521.06,59535.58,62164.68,66832.39,24590.4,12420.35
50,58633,59378.45,59458.67,62113.92,66823.05,24466.02,12260.35
51,58333,59235.84,59381.76,62063.16,66813.71,24341.64,12100.35
52,58033,59093.23,59304.85,62022.79,66804.37,24217.26,11940.35
53,57733,58950.62,59227.94,61982.42,66795.03,24148.02,11831.35
54,57433,58808.01,59151.03,61942.05,66785.69,24078.78,11722.35
55,57133,58665.4,59074.12,61901.68,66776.35,24009.54,11613.35
56,56833,58522.79,58997.21,61861.31,66767.01,23940.3,11504.35
57,56533,58380.18,58920.3,61820.94,66757.67,23871.06,11395.35
58,56233,58237.57,58843.39,61780.57,66750.62,23801.82,11286.35
59,55933,58094.96,58766.48,61740.2,66743.57,23732.58,11177.35
60,55633,57952.35,58689.57,61699.83,66736.52,23663.34,11068.35
61,55333,57809.74,58612.66,61659.46,66729.47,23594.1,10959.35
62,55033,57667.13,58535.75,61649.37,66722.42,23524.86,10850.35
63,54733,57524.52,58458.84,61639.28,66715.37,23455.62,10770.35
64,54433,57381.91,58381.93,61629.19,66708.32,23420.86,10690.35
65,54133,57245.1,58305.02,61619.1,66701.27,23386.1,10610.35
66,53833,57108.29,58228.11,61609.01,66694.22,23351.34,10530.35
67,53533,56971.48,58151.2,61598.92,66687.17,23316.58,10450.35
68,53233,56834.67,58074.29,61588.83,66680.12,23281.82,10370.35
69,52933,56697.86,57997.38,61578.74,66673.07,23247.06,10290.35
70,52633,56561.05,57920.47,61568.65,66666.02,23212.3,10210.35
71,52333,56424.24,57843.56,61558.56,66658.97,23177.54,10130.35
72,52033,56287.43,57766.65,61548.47,66651.92,23142.78,10050.35
73,51733,56150.62,57689.74,61541.28,66644.87,23108.02,10000.35
74,51433,56013.81,57612.83,61534.09,66637.82,23073.26,9950.35
75,51133,55877,57535.92,61526.9,66630.77,23038.5,9900.35
76,50833,55740.19,57495.56,61519.71,66623.72,23003.74,9850.35
77,50533,55603.38,57455.2,61512.52,66616.67,22991.23,9800.35
78,50233,55466.57,57414.84,61505.33,66609.62,22978.72,9750.35
79,49984,55329.76,57374.48,61498.14,66602.57,22966.21,9700.35
80,49735,55192.95,57334.12,61490.95,66595.52,22953.7,9650.35
81,49486,55056.14,57293.76,61483.76,66589.91,22941.19,9600.35
82,49237,54919.33,57253.4,61476.57,66584.3,22928.68,9550.35
83,48988,54782.52,57213.04,61472.26,66578.69,22916.17,9500.35
84,48739,54645.71,57172.68,61467.95,66573.08,22903.66,9450.35
85,48490,54508.9,57132.32,61463.64,66567.47,22891.15,9400.35
86,48241,54372.09,57091.96,61459.33,66561.86,22878.64,9350.35
87,47992,54235.28,57051.6,61455.02,66556.25,22866.13,9300.35
88,47743,54098.47,57011.24,61450.71,66550.64,22853.62,9250.35
89,47494,53961.66,56970.88,61446.4,66545.03,22841.11,9200.35
90,47245,53824.85,56930.52,61442.09,66539.42,22828.6,9150.35
91,46996,53688.04,56890.16,61437.78,66533.81,22816.09,9110.35
92,46747,53551.23,56849.8,61436.31,66528.2,22803.58,9070.35
93,46498,53430.74,56809.44,61434.84,66522.59,22791.07,9030.35
94,46249,53310.25,56769.08,61433.37,66516.98,22778.56,8990.35
95,46000,53189.76,56728.72,61431.9,66512.55,22766.05,8950.35
96,45751,53069.27,56688.36,61430.43,66508.12,22753.54,8910.35
97,45502,52948.78,56648,61428.96,66503.69,22741.03,8870.35
98,45253,52828.29,56607.64,61427.49,66499.26,22728.52,8830.35
99,45004,52707.8,56567.28,61426.02,66494.83,22716.01,8790.35
100,44755,52587.31,56526.92,61424.55,66490.4,22703.5,8750.35
101,44506,52466.82,56486.56,61423.08,66485.97,22698.43,8710.35
102,44241.33,52346.33,56446.2,61421.61,66481.54,22693.36,8679.35
103,43976.66,52225.84,56405.84,61420.14,66477.11,22688.29,8648.35
104,43711.99,52105.35,56365.48,61418.67,66472.68,22683.22,8617.35
105,43447.32,51984.86,56325.12,61417.2,66468.25,22678.15,8586.35
106,43182.65,51864.37,56284.76,61415.73,66463.82,22673.08,8555.35
107,42917.98,51743.88,56244.4,61414.26,66459.39,22668.01,8524.35
108,42653.31,51623.39,56204.04,61412.79,66454.96,22662.94,8493.35
109,42388.64,51502.9,56163.68,61411.32,66450.53,22657.87,8462.35
110,42123.97,51382.41,56123.32,61409.85,66446.1,22652.8,8431.35
111,41859.3,51261.92,56082.96,61408.38,66441.67,22647.73,8400.35
112,41594.63,51141.43,56042.6,61406.91,66437.24,22642.66,8369.35
113,41329.96,51020.94,56002.24,61405.44,66432.81,22637.59,8338.35
114,41065.29,50922.71,55961.88,61403.97,66428.38,22632.52,8307.35
115,40800.62,50824.48,55921.52,61402.5,66423.95,22627.45,8276.35
116,40535.95,50726.25,55881.16,61401.03,66419.52,22622.38,8245.35
117,40271.28,50628.02,55840.8,61399.56,66415.09,22617.31,8214.35
118,40006.61,50529.79,55800.44,61398.09,66410.66,22612.24,8190.35
119,39781.94,50431.56,55760.08,61396.62,66406.94,22607.17,8166.35
120,39557.27,50333.33,55719.72,61395.15,66403.22,22602.1,8142.35
121,39332.6,50235.1,55679.36,61393.68,66399.5,22597.03,8118.35
122,39107.93,50136.87,55666.75,61392.21,66395.78,22591.96,8094.35
123,38883.26,50076.68,55654.14,61390.74,66392.06,22586.89,8070.35
124,38658.59,50016.49,55641.53,61389.27,66388.34,22581.82,8046.35
125,38433.92,49956.3,55628.92,61387.8,66384.62,22576.75,8022.35
126,38209.25,49896.11,55616.31,61386.33,66380.9,22571.68,7998.35
127,38132.91,49835.92,55603.7,61384.86,66377.18,22566.61,7974.35
128,38056.57,49775.73,55591.09,61383.39,66373.46,22561.54,7950.35
129,37980.23,49715.54,55578.48,61381.92,66369.74,22556.47,7932.35
130,37903.89,49655.35,55565.87,61380.45,66366.02,22551.4,7914.35
131,37827.55,49614.79,55553.26,61378.98,66362.3,22546.33,7896.35
132,37751.21,49574.23,55540.65,61377.51,66358.58,22541.26,7878.35
133,37674.87,49533.67,55528.04,61376.04,66354.86,22536.19,7860.35
134,37598.53,49493.11,55515.43,61374.57,66351.14,22531.12,7842.35
135,37522.19,49452.55,55502.82,61373.1,66347.42,22526.05,7824.35
136,37445.85,49411.99,55490.21,61371.63,66343.7,22520.98,7806.35
137,37369.51,49371.43,55477.6,61370.16,66339.98,22515.91,7788.35
138,37293.17,49330.87,55464.99,61368.69,66337.22,22510.84,7770.35
139,37216.83,49290.31,55452.38,61367.22,66334.46,22505.77,7752.35
140,37140.49,49249.75,55439.77,61365.75,66331.7,22500.7,7734.35
141,37064.15,49209.19,55427.16,61364.28,66328.94,22495.63,7716.35
142,36987.81,49168.63,55414.55,61362.81,66326.18,22490.56,7699.35
143,36911.47,49128.07,55401.94,61361.34,66323.42,22485.49,7682.35
144,36835.13,49087.51,55389.33,61359.87,66320.66,22480.42,7665.35
145,36758.79,49065.87,55376.72,61358.4,66317.9,22475.35,7648.35
146,36682.45,49044.23,55364.11,61356.93,66315.14,22470.28,7631.35
147,36606.11,49022.59,55351.5,61355.46,66312.38,22465.21,7614.35
148,36529.77,49000.95,55338.89,61353.99,66309.62,22460.14,7597.35
149,36453.43,48979.31,55326.28,61352.52,66306.86,22455.07,7580.35
150,36377.09,48957.67,55313.67,61351.05,66304.1,22450,7563.35
151,36300.75,48936.03,55301.06,61349.58,66301.34,22444.93,7547.35
152,36224.41,48914.39,55288.45,61348.11,66298.58,22439.86,7531.35
153,36148.07,48892.75,55275.84,61346.64,66295.82,22434.79,7515.35
154,36071.73,48871.11,55263.23,61345.17,66293.06,22429.72,7499.35
155,35995.39,48849.47,55250.62,61343.7,66290.3,22424.65,7483.35
156,35919.05,48838.08,55238.01,61342.23,66287.54,22419.58,7467.35
157,35842.71,48826.69,55225.4,61340.76,66284.78,22414.51,7451.35
158,35766.37,48815.3,55212.79,61339.29,66282.02,22409.44,7435.35
159,35690.03,48803.91,55200.18,61337.82,66279.26,22404.37,7419.35
160,35613.69,48792.52,55187.57,61336.35,66276.5,22399.3,7403.35
161,35537.35,48781.13,55174.96,61334.88,66273.74,22394.23,7387.35
162,35461.01,48769.74,55162.35,61333.41,66270.98,22389.16,7372.35
163,35384.67,48758.35,55149.74,61331.94,66268.57,22384.09,7357.35
164,35308.33,48746.96,55137.13,61330.47,66266.16,22379.02,7342.35
165,35231.99,48735.57,55124.52,61329,66263.75,22373.95,7327.35
166,35155.65,48724.18,55111.91,61327.53,66261.34,22368.88,7312.35
167,35079.31,48712.79,55099.3,61326.06,66258.93,22363.81,7297.35
168,35002.97,48701.4,55086.69,61324.59,66256.52,22358.74,7282.35
169,34926.63,48690.01,55074.08,61323.12,66254.11,22353.67,7267.35
170,34850.29,48678.62,55061.47,61321.65,66251.7,22348.6,7252.35
171,34773.95,48667.23,55048.86,61320.18,66249.29,22343.53,7237.35
172,34697.61,48655.84,55036.25,61318.71,66246.88,22338.46,7222.35
173,34621.27,48644.45,55023.64,61317.24,66244.47,22333.39,7207.35
174,34544.93,48633.06,55020.58,61315.77,66242.06,22328.32,7192.35
175,34468.59,48621.67,55017.52,61314.3,66239.65,22323.25,7177.35
176,34392.25,48610.28,55014.46,61312.83,66237.24,22318.18,7162.35
177,34315.91,48598.89,55011.4,61311.36,66234.83,22313.11,7148.35
178,34239.57,48587.5,55008.34,61309.89,66232.42,22308.04,7134.35
179,34163.23,48579.59,55005.28,61308.42,66230.01,22302.97,7120.35
