No. of Iterations,MFO,FFA,GWO,DE,MVO,HHO,MFOS
1,430.52,445.98,446.65,437.85,445.75,442.24,447.74
2,429.52,418.18,400.45,427.38,421.88,434.02,350.6
3,428.2,407.14,375.25,424.97,407.58,430.76,272.35
4,425.22,401.61,356.86,418.42,396.08,430.76,209.23
5,422.89,400.71,348.8,412.54,384.52,429.12,160.71
6,420.76,397.26,344.05,406.72,374.11,427.66,150.39
7,415.87,393.48,339.29,400.88,364.53,427.66,139.17
8,413.66,392.72,336.29,395.9,358.29,424.5,132.07
9,409.82,392.06,333.29,389.31,351.1,424.44,131.37
10,406.3,389.2,330.29,382.98,346.35,423.58,130.67
11,404.4,387.2,327.29,376.41,341.8,422.72,129.97
12,399.97,386.76,324.29,368.71,336.32,420.2,129.27
13,398.2,383.09,321.29,366.14,328.68,419.28,128.57
14,397.73,376.2,318.29,360.17,320.93,419.18,127.87
15,391.63,373.02,315.29,355.24,317.42,419.18,127.17
16,388.05,371.23,312.29,352.04,313.51,418.52,126.47
17,386.16,368.63,311.79,341.02,312.9,417.63,125.77
18,383.7,367.17,311.29,339.13,310.55,416.85,125.07
19,379.94,366.27,310.79,335.92,309.06,416.15,124.37
20,376.82,361.83,310.29,333.94,307.52,416.15,123.67
21,373.33,360.7,309.79,331.67,300.31,413.24,122.97
22,371.35,360.04,309.29,329.98,296.63,413.09,122.27
23,368.02,356.13,308.79,329.06,294.69,411.68,121.57
24,365.75,354.43,308.29,327.35,293.35,411.68,120.87
25,360.93,350.45,307.79,325.95,290.18,411.55,120.17
26,359.09,348.96,307.29,323.6,286.84,409.64,119.47
27,355.69,346,306.79,319.93,286.09,408.9,118.77
28,352.59,343.63,306.29,318.45,284.6,408.05,118.07
29,350.41,343.41,305.79,316.62,283.55,407.54,117.37
30,348.33,339.7,305.29,311.75,281.81,407.54,116.67
31,347.31,338.23,304.79,310.04,281.39,404.84,115.97
32,346.41,337.33,304.29,305.22,280.1,403.4,115.27
33,344.39,337.15,303.79,304.69,279.21,403.38,114.57
34,339.71,336.2,303.29,303.27,278.19,403.19,113.87
35,338.09,332.58,302.79,299.05,278.1,398.37,113.17
36,336.41,332.39,302.29,298.47,277.61,397.77,112.47
37,334.18,332.21,301.79,296.11,277.61,397.47,111.77
38,331.85,330.03,301.29,295.19,275.83,397.47,111.07
39,328.51,329.09,300.79,294.45,274.85,397.31,110.37
40,325.44,324.94,300.29,292.26,274.17,397.02,109.67
41,323.54,323.54,299.29,291.01,273.85,396.61,108.97
42,321.67,321.14,298.29,288.51,273.85,396.15,108.27
43,318.02,319.17,297.29,287.44,273.85,394.73,107.57
44,313.8,317.17,296.29,287.42,273.85,394.73,106.87
45,310.51,315.88,295.29,285.45,272.89,394.73,106.17
46,309.05,315.88,294.29,282.87,272.89,394.7,105.47
47,308.23,314.26,293.29,281.35,272.89,394.01,104.77
48,305.57,312.49,292.29,280.47,272.89,392.81,104.07
49,302.58,311.21,291.29,279.52,272.89,392.5,103.37
50,301.84,309.71,290.29,277.68,272.89,389.28,102.67
51,299.26,308.03,289.29,275.81,272.27,387.21,102.47
52,298.01,305.39,288.29,275.81,272.27,385.39,102.27
53,296.07,305.14,287.29,275.35,272.27,383.02,102.07
54,294.62,303.87,286.29,274.82,272.27,380.69,101.87
55,293.48,301.78,285.29,274.7,272.27,379.05,101.67
56,292.56,300.22,284.29,273.92,271.21,378.01,101.47
57,289.18,297.64,283.29,272.6,269.99,376.2,101.27
58,288.48,295.17,282.29,269.95,269.41,376.12,101.07
59,287.51,295,281.29,268.48,269.38,375,100.87
60,284.16,294.09,280.29,268.47,269.38,373,100.67
61,280.88,291.98,279.29,268.3,269.38,371,100.47
62,278.2,291.97,278.29,267.7,269.09,369.95,100.27
63,276,290.63,277.29,264.9,268.8,368.43,100.07
64,274.2,290.07,276.29,264.85,268.8,367,99.87
65,272.71,287.85,275.29,263.99,267.49,365.05,99.67
66,271.88,286.74,274.29,263.35,267.12,363.34,99.47
67,268.16,285.68,273.29,263.26,267.09,360.98,99.27
68,265.57,285.02,272.29,263.05,266.92,358.31,99.07
69,264.43,284.17,271.29,262.18,266.55,355.26,98.87
70,263.68,283.88,270.29,261.47,266.55,351.25,98.67
71,262.49,283.44,269.29,260.83,265.62,345.38,98.47
72,261.8,282.58,268.29,259.69,264.79,345.03,98.27
73,258.69,282.58,267.29,259.13,264.7,341.47,98.07
74,258.16,280.95,266.29,258.26,262.94,338.09,97.87
75,256.95,280.95,265.29,258.26,261.71,336.38,97.67
76,255.5,280.47,264.29,258.26,261.71,335.44,97.47
77,254.34,280.17,263.29,258.26,261.71,332.73,97.27
78,251.66,280.07,262.29,258.2,261.7,330.38,97.07
79,250.4,279.82,261.29,257.56,259.85,327.74,96.87
80,249.58,279.66,260.29,256.61,258.91,325,96.86
81,248.81,277.95,259.29,254.85,258.64,324.33,91.04
82,246.7,276.02,258.29,254.85,258.64,322.6,82.9
83,245.77,275.53,257.29,253.87,258.64,318.81,70.9
84,245.56,275.53,256.29,253.51,258.03,318.11,49.5
85,244.2,275.17,255.29,253.1,257.65,316.72,49
86,242.17,275.17,254.29,251.45,257.42,316.72,32.8
87,240.39,275.17,253.29,249.86,257.05,316.61,24.03
88,239,275.17,252.29,249.86,256.7,316.13,18
89,238.26,275.17,251.29,249.81,256.42,315.28,11.87
90,235.74,274.55,250.29,249.44,256.17,314.07,6
91,235.51,274.55,249.29,247.87,255.99,313.22,0
92,232.67,274.55,248.29,247.21,255.99,310.74,0
93,231.68,274.55,247.29,247.21,255.99,307.67,0
94,230.93,274.1,246.29,246.22,254.76,303.89,0
95,229.23,274.04,245.29,245.88,254.19,301.34,0
96,228.25,272.61,244.29,244.85,254.19,298.12,0
97,227.6,272.61,243.29,244.22,254.19,295.57,0
98,225.92,270.34,242.29,243.42,254.19,294.51,0
99,225.01,270.34,241.29,243.42,254.19,289.97,0
100,223.96,269.22,240.29,243.42,254,287.55,0
101,223.51,269.16,239.29,243.42,253.74,286.83,0
102,222.86,268.91,238.29,243.42,253.74,284.17,0
103,220.88,268.91,237.29,242.8,253.61,278.68,0
104,220.34,268.91,236.29,242.21,253.61,275.48,0
105,218.54,268.75,235.29,241.13,253.4,275.1,0
106,217.32,268.26,234.29,241.13,252.93,272.28,0
107,216.18,268.26,233.29,240.62,252.13,266.99,0
108,215.81,266.34,232.29,239.7,252.13,265.68,0
109,213.97,265.12,231.29,238.67,252.13,262.72,0
110,213.43,264.11,230.29,238.67,252.13,259.87,0
111,212.36,263.6,229.29,238.25,251.23,256.11,0
112,211.32,262.17,228.29,238.25,251.14,256.05,0
113,210.84,261.73,227.29,236.59,251.02,255.5,0
114,209.43,261.73,226.29,236.46,251.02,255.5,0
115,209.06,261.73,225.29,236.19,250.89,254.66,0
116,208.31,261.4,224.29,236.19,250.89,252.93,0
117,208.08,261.05,223.29,236.01,250.89,251.61,0
118,206.61,260.61,222.29,235.73,250.89,249.95,0
119,205.92,260.61,221.29,235.66,250.89,249.95,0
120,205.12,260.61,220.29,235.65,250.64,249.92,0
121,204.42,260.21,219.29,235.07,250.64,249.66,0
122,203.83,260.19,218.29,235.07,250.64,248.9,0
123,202.62,258.75,217.29,234.16,250.43,248.26,0
124,201.73,258.17,216.29,234.16,250.43,248.26,0
125,200.89,256.28,215.29,233.85,249.42,247.54,0
126,200.36,255.33,214.29,233.32,249.42,247.28,0
127,199.14,254.53,213.29,233.1,249.42,247.28,0
128,198.8,253.17,212.29,232.88,249.26,244.84,0
129,198.01,252.39,211.29,232.88,249.26,244.76,0
130,197.5,251.09,210.29,232.88,249.26,243.41,0
131,196.96,249.78,209.29,232.88,249.26,241.4,0
132,196.43,248.56,208.29,232.4,249.26,238.96,0
133,195.72,246.61,207.29,232.03,249.26,237.44,0
134,194.86,244.49,206.29,231.15,249.26,237.02,0
135,194.06,243.58,205.29,230.5,248.88,235.6,0
136,193.46,243.58,204.29,230.47,248.88,234.79,0
137,192.63,240.27,203.29,230.47,248.88,233.46,0
138,191.74,239.43,202.29,230.47,248.88,232.51,0
139,191.51,234.98,201.29,230.47,248.88,229.88,0
140,191.06,232.83,200.29,229.96,248.88,229.86,0
141,190.4,229.52,199.29,229.96,248.88,228.37,0
