No. of Iterations,MFO,FFA,GWO,DE,MVO,HHO,MFOS
1,91.36,188.74,160.24,101.62,193.94,130.84,170.19
2,91.15,188.24,159.94,101.52,193.34,130.34,84.49
3,90.94,187.74,159.64,101.42,192.74,129.84,67.66
4,90.73,187.24,159.34,101.32,192.14,129.34,61.76
5,90.52,186.74,159.04,101.22,191.54,128.84,45.39
6,90.31,186.24,158.74,101.12,190.94,128.34,38.51
7,90.1,185.74,158.44,101.02,190.34,127.84,38.24
8,89.89,185.24,158.14,100.92,189.74,127.34,31.87
9,89.68,184.74,157.84,100.82,189.14,126.84,31.52
10,89.47,184.24,157.54,100.72,188.54,126.34,28.71
11,89.26,183.74,157.24,100.62,187.94,125.84,26.31
12,89.05,183.24,156.94,100.52,187.34,125.34,24.73
13,88.84,182.74,156.64,100.42,186.74,124.84,21.96
14,88.621,182.24,156.34,100.32,186.14,124.34,21.13
15,88.402,181.74,156.04,100.22,185.54,123.94,20.58
16,88.183,180.94,155.74,100.12,184.94,123.54,20.53
17,87.964,180.14,155.44,100.02,184.34,123.14,20.4
18,87.745,179.34,155.14,99.92,183.74,122.74,19.81
19,87.526,178.54,154.84,99.82,183.14,122.34,19.48
20,87.307,177.74,154.54,99.72,182.54,121.94,18.77
21,87.088,176.94,154.24,99.62,181.94,121.54,18.77
22,86.869,176.14,153.94,99.52,181.34,121.14,18.34
23,86.65,175.34,153.64,99.42,180.64,120.74,18.21
24,86.431,174.54,153.34,99.32,179.94,120.34,17.99
25,86.212,173.74,153.14,99.22,179.24,119.94,17.16
26,85.993,172.94,152.94,99.12,178.54,119.54,16.97
27,85.774,172.14,152.74,99.02,177.84,119.14,11.95
28,85.555,171.34,152.54,98.92,177.14,118.74,11.95
29,85.336,170.54,152.34,98.82,176.44,118.44,11.95
30,85.117,169.74,152.14,98.72,175.74,118.14,11.78
31,84.898,168.94,151.94,98.62,175.04,117.84,11.29
32,84.679,168.14,151.74,98.52,174.34,117.54,11.29
33,84.46,167.34,151.54,98.42,173.64,117.24,11.29
34,84.241,166.54,151.34,98.32,172.94,116.94,11.27
35,84.022,165.74,151.14,98.22,172.24,116.64,11
36,83.803,164.94,150.94,98.12,171.54,116.34,11
37,83.584,164.14,150.74,98.02,170.84,116.04,11
38,83.365,163.34,150.54,97.92,170.14,115.74,11
39,83.146,162.54,150.34,97.82,169.44,115.44,11
40,82.927,161.74,150.14,97.72,168.74,115.14,10.99
41,82.708,160.94,149.94,97.62,168.04,114.84,10.99
42,82.489,160.14,149.74,97.52,167.34,114.54,10.84
43,82.27,159.74,149.54,97.42,166.64,114.24,10.51
44,82.051,159.34,149.34,97.32,165.94,113.94,10.51
45,81.832,158.94,149.14,97.22,165.24,113.64,10.28
46,81.613,158.54,148.94,97.02,164.54,113.34,10.28
47,81.394,158.14,148.74,96.82,163.64,113.14,10.28
48,81.175,157.74,148.54,96.62,162.74,112.94,10.28
49,80.956,157.34,148.34,96.42,161.84,112.74,10.27
50,80.737,156.94,148.14,96.22,160.94,112.54,10.21
51,80.518,156.54,147.94,96.02,160.04,112.34,10.19
52,80.299,156.14,147.84,95.82,159.14,112.14,10.09
53,80.08,155.74,147.74,95.62,158.24,111.94,10.08
54,79.861,155.34,147.64,95.42,157.34,111.74,9.95
55,79.642,154.94,147.54,95.22,156.44,111.54,9.92
56,79.423,154.54,147.44,95.02,155.54,111.34,6.84
57,79.204,154.14,147.34,94.82,154.64,111.14,6.81
58,78.985,153.74,147.24,94.62,153.74,110.94,6.81
59,78.766,153.34,147.14,94.42,152.84,110.74,6.81
60,78.547,152.94,147.04,94.22,151.94,110.54,6.72
61,78.328,152.54,146.94,94.02,151.04,110.34,6.72
62,78.109,152.14,146.84,93.82,150.14,110.14,6.56
63,77.89,151.74,146.74,93.62,149.24,109.94,6.56
64,77.671,151.34,146.64,93.42,148.34,109.84,6.56
65,77.452,150.94,146.54,93.22,147.44,109.74,6.47
66,77.233,150.54,146.44,93.02,146.54,109.64,6.23
67,77.014,150.14,146.34,92.82,145.64,109.54,6.23
68,76.795,149.74,146.24,92.62,144.74,109.44,6.23
69,76.576,149.34,146.14,92.42,143.84,109.34,4.23
70,76.357,148.94,146.04,92.22,143.24,109.24,4.23
71,76.138,148.54,145.94,92.02,142.64,109.14,4.07
72,75.919,148.14,145.84,91.82,142.04,109.04,4.07
73,75.7,147.74,145.74,91.62,141.44,108.94,4.07
74,75.481,147.34,145.64,91.42,140.84,108.84,3.92
75,75.262,146.94,145.54,91.22,140.24,108.74,3.92
76,75.043,146.54,145.44,91.02,139.64,108.64,3.92
77,74.824,146.14,145.34,90.82,139.04,108.54,3.88
78,74.605,145.74,145.24,90.62,138.44,108.44,3.88
79,74.386,145.34,145.14,90.42,137.84,108.34,3.53
80,74.167,144.94,145.04,90.22,137.24,108.24,3.41
81,73.948,144.54,144.94,90.02,136.64,108.14,3.31
82,73.729,144.14,144.84,89.82,136.04,108.04,3.31
83,73.51,143.74,144.74,89.62,135.44,107.94,3.31
84,73.291,143.34,144.64,89.42,134.84,107.84,3.28
85,73.072,143.04,144.54,89.22,134.34,107.74,3.12
86,72.853,142.74,144.44,89.02,133.84,107.64,3.12
87,72.634,142.44,144.34,88.82,133.34,107.54,3.12
88,72.415,142.14,144.24,88.62,132.84,107.44,2.95
89,72.196,141.84,144.14,88.42,132.34,107.34,2.95
90,71.977,141.54,144.04,88.22,131.84,107.24,2.85
91,71.758,141.24,143.94,88.02,131.34,107.14,2.65
92,71.539,140.94,143.84,87.82,130.84,107.04,2.64
93,71.32,140.64,143.74,87.62,130.34,106.94,2.58
94,71.15,140.34,143.64,87.42,129.84,106.84,2.54
95,70.98,140.04,143.54,87.22,129.34,106.74,2.54
96,70.81,139.74,143.44,87.02,128.84,106.64,2.54
97,70.64,139.44,143.34,86.82,128.34,106.54,2.54
98,70.47,139.14,143.24,86.62,127.84,106.44,2.54
99,70.3,138.84,143.14,86.42,127.34,106.34,2.54
100,70.13,138.54,143.04,86.22,126.84,106.24,2.51
101,69.96,138.24,142.94,86.02,126.34,106.14,2.44
102,69.79,137.94,142.84,85.82,125.84,106.04,2.44
103,69.62,137.64,142.74,85.62,125.44,105.94,2.44
104,69.45,137.34,142.64,85.32,125.04,105.84,2.44
105,69.28,137.04,142.54,85.02,124.64,105.74,2.44
106,69.11,136.74,142.44,84.72,124.24,105.64,2.44
107,68.94,136.44,142.34,84.42,123.84,105.54,2.44
108,68.77,136.14,142.24,84.12,123.44,105.44,2.44
109,68.6,135.84,142.14,83.82,123.04,105.34,2.44
110,68.43,135.54,142.04,83.52,122.64,105.24,2.44
111,68.26,135.04,141.94,83.22,122.24,105.14,2.44
112,68.09,134.54,141.84,82.92,121.84,105.04,2.44
113,67.92,134.04,141.74,82.62,121.44,104.94,2.44
114,67.75,133.54,141.64,82.32,121.04,104.84,2.41
115,67.58,133.04,141.54,82.02,120.64,104.74,2.41
116,67.41,132.54,141.44,81.72,120.24,104.64,2.37
117,67.24,132.04,141.34,81.42,119.84,104.54,2.3
118,67.07,131.54,141.24,81.12,119.44,104.44,2.3
119,66.9,131.04,141.14,80.82,119.04,104.34,2.3
120,66.73,130.54,141.04,80.52,118.64,104.24,2.3
121,66.56,130.04,140.94,80.22,118.24,104.14,2.3
122,66.39,129.54,140.84,79.92,117.84,104.04,2.3
123,66.22,129.04,140.74,79.62,117.44,103.94,2.3
124,66.05,128.54,140.64,79.32,117.04,103.84,2.3
125,65.88,128.04,140.54,79.02,116.64,103.74,2.3
