No. of Iterations,MFO,FFA,GWO,DE,MVO,HHO,MFOS
112,18.49,9,19.74,9.79,12.16,13.71,0
113,18.46,9.03,19.74,9.73,12.13,13.68,0
114,18.45,8.91,19.74,9.64,12.09,13.64,0
115,18.44,8.79,19.73,9.57,12.05,13.6,0
116,18.43,8.7,19.73,9.44,12.05,13.6,0
117,18.42,8.63,19.73,9.32,12,13.55,0
118,18.38,8.51,19.73,9.23,11.98,13.53,0
119,18.37,8.38,19.73,9.14,11.98,13.53,0
120,18.34,8.32,19.73,9.11,11.93,13.48,0
121,18.33,8.26,19.73,9.04,11.93,13.48,0
122,18.33,8.1,19.73,8.95,11.89,13.44,0
123,18.3,8.03,19.72,8.86,11.85,13.4,0
124,18.29,8.03,19.72,8.71,11.8,13.35,0
125,18.28,8.03,19.72,8.59,11.8,13.35,0
126,18.23,8.03,19.72,8.53,11.73,13.28,0
127,18.22,8.03,19.72,8.5,11.69,13.24,0
128,18.2,8.03,19.72,8.45,11.65,13.2,0
129,18.18,8.03,19.71,8.38,11.6,13.15,0
130,18.17,8.03,19.71,8.25,11.57,13.12,0
131,18.14,7.8,19.69,8.19,11.57,13.12,0
132,18.12,7.8,19.67,8.09,11.57,13.12,0
133,18.09,7.8,19.62,7.98,11.52,13.07,0
134,18.04,7.8,19.62,7.87,11.48,13.03,0
135,18.01,7.8,19.62,7.69,11.43,12.98,0
136,18,7.8,19.62,7.62,11.4,12.95,0
137,17.98,7.8,19.62,7.6,11.4,12.95,0
138,17.93,7.8,19.62,7.55,11.39,12.94,0
139,17.92,7.8,19.62,8,11.38,12.93,0
140,17.9,7.8,19.62,7.93,11.37,12.92,0
141,17.88,7.8,19.62,7.87,11.36,12.91,0
142,17.84,7.8,19.56,7.82,11.34,12.89,0
143,17.82,7.8,19.56,7.77,11.32,12.87,0
144,17.8,7.6,19.56,7.67,11.28,12.83,0
145,17.76,7.6,19.56,7.59,11.18,12.73,0
146,17.76,7.6,19.56,7.5,11.14,12.69,0
147,17.7,7.6,19.56,7.39,11.11,12.66,0
148,17.67,7.6,19.55,7.26,11.06,12.61,0
149,17.67,7.6,19.55,7.22,11.04,12.59,0
150,17.65,7.6,19.55,7.18,11,12.5,0
151,17.65,7.6,19.52,7.12,10.99,12.49,0
152,17.64,7.6,19.49,7.01,10.99,12.49,0
153,17.64,7.6,19.42,6.95,10.87,12.37,0
154,17.64,7.6,19.42,6.91,10.84,12.34,0
155,17.62,7.6,19.33,6.88,10.79,12.29,0
156,17.58,7.6,19.28,6.84,10.74,12.24,0
157,17.54,7.6,19.27,6.77,10.72,12.62,0
158,17.54,7.6,19.26,6.71,10.69,12.59,0
159,17.51,7.6,19.2,6.65,10.67,12.57,0
160,17.48,7.6,19.14,6.89,10.67,12.57,0
161,17.48,7.6,19.08,6.82,10.67,12.57,0
162,17.47,7.6,18.92,6.76,10.61,12.51,0
